date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:02	35238/35238	---MCZ	200	added ('OK')	text/css	etag:W/%22583e705e-89a6%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/woocommerce.css?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/woocommerce5010.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:02	13274/13274	---MCZ	200	added ('OK')	text/css	etag:W/%22583e705e-33da%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/color/purple.css?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/color/purple5010.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:03	5537/5537	---MCZ	200	added ('OK')	text/css	etag:W/%22583e705e-15a1%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/shortcode.css?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/shortcode5010.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:03	6844/6844	---MCZ	200	added ('OK')	text/css	etag:W/%225c1ccb61-1abc%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/responsive.css?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/responsive5010.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:04	3366/3366	---MCZ	200	added ('OK')	text/css	etag:W/%22583e705e-d26%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/meanmenu.css?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/meanmenu5010.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:04	12560/12560	---MCZ	200	added ('OK')	text/css	etag:W/%22583e705e-3110%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/gallery.css?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/gallery5010.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:06	674/674	---MC-	200	added ('OK')	text/javascript	date:Thu,%2005%20Mar%202020%2017:05:05%20GMT	http://www.google.com/recaptcha/api.js?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/www.google.com/recaptcha/api5010.js	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:06	8083/8083	---MCZ	200	added ('OK')	text/css	etag:W/%22583e705e-1f93%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/zoombox-gal.css?ver=4.9.8	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-content/themes/butterbelly-pro/assets/css/zoombox-gal5010.css	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:06	97184/97184	---MCZ	200	added ('OK')	application/javascript	etag:W/%225742cea6-17ba0%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-includes/js/jquery/jqueryb8ff.js	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
22:35:07	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22574ed43c-2748%22	https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/banquet%20halls/www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.inkthemesdemo.com/wptheme/marriage-hall-wordpress-theme/)
